"county","state","acres92","acres87","acres82","farms92","farms87","farms82","largef92","largef87","largef82","smallf92","smallf87","smallf82","region","stratum"
"MORGAN COUNTY","UT",234576,283105,255330,258,261,250,27,28,25,57,37,44,"W","W"
"RICH COUNTY","UT",493073,514768,476436,143,166,150,57,60,53,6,16,7,"W","W"
"SEVIER COUNTY","UT",158189,161495,171772,406,476,477,21,23,21,39,49,66,"W","W"
"UINTAH COUNTY","UT",1294703,1318672,1330147,716,693,671,70,58,62,72,62,56,"W","W"
"UTAH COUNTY","UT",450315,493902,432326,1696,1723,1848,64,53,62,475,475,542,"W","W"
"WASHINGTON COUNTY","UT",167374,178169,165404,389,414,372,42,47,38,80,89,65,"W","W"
"WEBER COUNTY","UT",256522,199496,176953,945,891,905,13,15,12,238,218,226,"W","W"
"GRANT COUNTY","WA",1086045,1107836,1113170,1696,1881,1799,236,212,225,132,186,167,"W","W"
"GRAYS HARBOR COUNTY","WA",44742,44345,49141,385,410,461,3,3,2,45,45,48,"W","W"
"KLICKITAT COUNTY","WA",689639,698453,725048,508,545,575,124,129,134,39,40,43,"W","W"
"LINCOLN COUNTY","WA",1465788,1479146,1404250,708,799,780,446,494,465,21,22,19,"W","W"
"OKANOGAN COUNTY","WA",1291118,1339306,1332990,1344,1476,1570,167,179,171,185,222,254,"W","W"
"PACIFIC COUNTY","WA",32637,34870,38515,248,270,303,4,6,6,28,32,34,"W","W"
"SKAGIT COUNTY","WA",92074,95357,109834,754,806,897,16,11,10,139,144,138,"W","W"
"SKAMANIA COUNTY","WA",4043,6726,8940,60,71,79,0,0,0,12,8,7,"W","W"
"STEVENS COUNTY","WA",546303,525783,578060,1054,1073,1191,80,87,95,47,58,50,"W","W"
"THURSTON COUNTY","WA",59890,56799,67628,811,806,856,5,4,4,171,143,151,"W","W"
"WALLA WALLA COUNTY","WA",710546,675524,755240,745,759,824,204,207,182,123,130,185,"W","W"
"BIG HORN COUNTY","WY",441321,467739,471887,516,570,581,82,80,71,23,41,37,"W","W"
"CAMPBELL COUNTY","WY",2704163,2893716,2843442,476,489,444,292,308,316,18,48,29,"W","W"
"CONVERSE COUNTY","WY",2363248,2472579,2394559,305,337,306,175,184,185,8,33,22,"W","W"
"GOSHEN COUNTY","WY",1234542,1316604,1258870,675,717,742,244,256,247,34,44,53,"W","W"
"JOHNSON COUNTY","WY",2055522,1936252,1933935,290,272,261,179,156,170,15,30,19,"W","W"
"NATRONA COUNTY","WY",2508749,2633700,2859546,292,304,305,117,125,122,15,28,27,"W","W"
"PARK COUNTY","WY",797270,957053,1075169,579,618,628,81,86,80,40,50,40,"W","W"
"WASHAKIE COUNTY","WY",397883,391069,342499,207,225,230,61,70,61,14,20,26,"W","W"
